[2025-07-21 08:20:34] [INFO] 📨 Sending RPC to → exchange='' | routing_key='MCP'
[2025-07-21 08:31:57] [INFO] 📨 Sending RPC to → exchange='' | routing_key='MCP'
[2025-07-21 09:01:48] [INFO] 📨 Sending RPC to → exchange='' | routing_key='MCP'
[2025-07-21 09:12:41] [INFO] 📨 Sending RPC to → exchange='' | routing_key='MCP'
[2025-07-21 10:50:46] [INFO] 📨 Sending RPC to → exchange='' | routing_key='MCP'
[2025-07-21 10:57:39] [INFO] 📨 Sending RPC to → exchange='' | routing_key='MCP'
[2025-07-21 10:59:31] [INFO] 📨 Sending RPC to → exchange='' | routing_key='MCP'
[2025-07-21 11:07:53] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 11:12:57] [INFO] 📨 Sending RPC to → exchange='' | routing_key='OrderSimulation'
[2025-07-21 11:14:03] [INFO] 📨 Sending RPC to → exchange='' | routing_key='OrderSimulation'
[2025-07-21 11:16:49] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 11:23:07] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 11:24:48] [INFO] 📨 Sending RPC to → exchange='' | routing_key='OrderSimulation'
[2025-07-21 12:24:45] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 12:27:38] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 13:13:32] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 13:16:49] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 13:18:25] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 13:22:49] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 13:24:53] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 13:25:37] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 13:26:57] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 13:27:22] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 13:27:36] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 13:27:59] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 13:31:31] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 13:31:47] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 13:32:16] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 13:33:34] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 13:33:55] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='OrderSimulation'
[2025-07-21 13:48:58] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='ExtractData'
[2025-07-21 13:56:10] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='ExtractData'
[2025-07-21 14:19:00] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='ExtractData'
[2025-07-21 14:20:02] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='ExtractData'
[2025-07-21 14:25:09] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='ExtractData'
[2025-07-21 14:25:15] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='ExtractData'
[2025-07-21 14:25:56] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='ExtractData'
[2025-07-21 14:25:57] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='ExtractData'
[2025-07-21 14:26:27] [INFO] 📨 Sending RPC to → exchange='Exc' | routing_key='ExtractData'
